,Unnamed: 0,Src Zone,Src_Address,Dst Zone,Dst_Address,Service,App,URL,Action,Last Matched (days ago),사용유무
2,2,vlan178,10.168.178.100,untrust,192.168.223.220,tcp-80,any,any,permit,286.0,
3,3,,10.168.178.101,,,,,,,,
4,4,vlan178,10.168.178.100,untrust,192.168.223.220,tcp_8021,any,any,permit,286.0,
5,5,,10.168.178.101,,,,,,,,
6,6,vlan178,10.168.178.100,untrust,192.168.223.220,tcp_8031,any,any,permit,286.0,
7,7,,10.168.178.101,,,,,,,,
142,142,untrust,10.248.193.78,vlan181,192.168.181.29,tcp-1433,mssql-db,any,permit,350.0,
164,164,,,,10.84.84.75,,,,,,
165,165,,,,10.84.84.76,,,,,,
171,171,,,,10.84.84.75,,,,,,
172,172,,,,10.84.84.76,,,,,,
178,178,,,,10.84.84.75,,,,,,
179,179,,,,10.84.84.76,,,,,,
185,185,,,,10.84.84.75,,,,,,
186,186,,,,10.84.84.76,,,,,,
192,192,,,,10.84.84.75,,,,,,
193,193,,,,10.84.84.76,,,,,,
199,199,,,,10.84.84.75,,,,,,
200,200,,,,10.84.84.76,,,,,,
206,206,,,,10.84.84.75,,,,,,
207,207,,,,10.84.84.76,,,,,,
271,271,vlan181,192.168.181.29,untrust,10.84.84.60,tcp_443,"soap
ssl",any,permit,196.0,
428,428,untrust,10.248.193.247,vlan1522,192.168.48.241,tcp_8888,any,any,permit,310.0,
546,546,untrust,10.248.193.234,vlan2060,192.168.206.14,tcp_25,smtp,any,permit,309.0,
547,547,untrust,10.248.193.234,vlan2370,192.168.237.14,tcp_25,smtp,any,permit,309.0,
